Date,Price,Open,High,Low,Vol.,
12/29/2023,170,164.5,170,164.5,69.03K,
12/28/2023,166.5,167,167,166.5,2.03K,
12/27/2023,165,165.25,165.25,164,7.09K,
12/22/2023,165,166,168,164,259.08K,
12/21/2023,167,165,168,165,134.72K,
12/20/2023,165,164,165,163.25,48.94K,
12/19/2023,163.25,165.5,165.5,163.25,49.70K,
12/18/2023,164.75,167,167,164.75,67.70K,
12/15/2023,167,167.75,168.25,166,18.40K,
12/14/2023,168,168.5,169,165.25,13.81K,
12/13/2023,168.5,169,169,167.25,14.26K,
12/12/2023,168.5,169,169.75,168.25,47.49K,
12/11/2023,168.5,168.5,170,168.25,145.79K,
12/08/2023,168.75,168.5,170,168.5,99.74K,
12/07/2023,168.5,170,170,168.5,4.86K,
12/06/2023,170,169.25,170,169,23.72K,
12/05/2023,170,170,170,169,11.39K,
12/04/2023,170,170,172,169,161.59K,
12/01/2023,170,169.75,170,169,197.23K,
11/30/2023,167,165,167,163.5,290.54K,
11/29/2023,165,164,165.75,163.25,20.13K,
11/28/2023,163.75,165,165,163.75,17.91K,
11/27/2023,165,166,167,164,167.92K,
11/24/2023,166.25,170,170,166.25,7.75K,
11/23/2023,167.5,168.75,168.75,167.5,0.21K,
11/22/2023,167,169,169,167,4.57K,
11/21/2023,167.5,167.75,170,167.5,67.88K,
11/20/2023,168,168,168,167,3.77K,
11/17/2023,167.75,169,169,167.25,1.36K,
11/16/2023,168,169.75,169.75,168,53.40K,
11/15/2023,170,171,171,169,74.99K,
11/14/2023,170,170,175,169,152.78K,
11/13/2023,175,174.75,175,170,83.40K,
11/10/2023,167,169.75,174.5,166.5,275.58K,
11/09/2023,169.25,171,174.75,168.5,271.27K,
11/08/2023,170.5,167.25,175,167.25,216.10K,
11/07/2023,167,164.25,167,164,38.64K,
11/06/2023,167,162.5,169.75,162.5,13.49K,
11/03/2023,162,166,167.75,162,112.05K,
11/02/2023,165,165,167,165,61.63K,
11/01/2023,167.5,164.75,167.5,164.75,53.08K,
10/31/2023,163.75,167.5,167.5,163.5,15.57K,
10/30/2023,165,165,167.5,163,5.47K,
10/27/2023,165.5,160.5,165.5,160.5,2.53K,
10/26/2023,163,163.75,163.75,159,153.23K,
10/25/2023,164,165,165,164,1.25K,
10/24/2023,165,166.5,166.75,165,2.84K,
10/23/2023,167,168.5,168.5,166.25,20.74K,
10/20/2023,168.5,160.5,168.5,160.5,28.29K,
10/19/2023,162,161.75,162,161,21.97K,
10/18/2023,162,163,164.75,160.5,24.51K,
10/17/2023,165,164,165,163,4.66K,
10/16/2023,164,167,167,163,3.32K,
10/13/2023,163,165.75,167,163,3.76K,
10/12/2023,164,160.25,165,160.25,19.81K,
10/11/2023,161.75,165,165,160,21.21K,
10/10/2023,163.25,159.5,163.75,159.5,106.55K,
10/09/2023,163,163.25,163.25,158,71.78K,
10/06/2023,163,165,165,163,209.74K,
10/05/2023,167.5,167.75,167.75,165,6.19K,
10/04/2023,166.5,164,168,164,5.08K,
10/03/2023,164,168,169.75,164,53.62K,
10/02/2023,168.5,173.75,173.75,166.5,213.01K,
09/27/2023,172,170.75,173,168.5,21.43K,
09/26/2023,169.75,167.5,170,167.5,19.28K,
09/25/2023,169,170,171,169,49.40K,
09/22/2023,169.75,167,170,166,143.69K,
09/21/2023,168,169.25,170,168,210.62K,
09/20/2023,169.25,165,171,165,288.92K,
09/19/2023,170,175,175,169,189.02K,
09/18/2023,173,174.75,177,173,65.90K,
09/15/2023,174.75,178,178,174.75,22.54K,
09/14/2023,178,176,178.25,173,47.59K,
09/13/2023,176.25,174,178,173,15.58K,
09/12/2023,175,174,175,171,54.37K,
09/11/2023,175,178.75,178.75,174.5,12.53K,
